NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;DS_COMPLEMENTO;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;QT_MAT_BAS
2019;Assis Brasil;1200054;ESCOLA INDIGENA TKATSHI;12033456;2;2;0.0;ALDEIA VIDA NA FLORESTA;;0.0;0.0;0.0;1.0;14.0
2019;Assis Brasil;1200054;ESC INDIGENA SALAO;12054224;2;2;2.0;TERRA INDIGENA MAMOADATE RIO IACO;;0.0;0.0;0.0;1.0;21.0
2019;Assis Brasil;1200054;ESC INDIGENA JORGE SIMAO DA SILVA;12094234;2;2;2.0;CABECEIRA DO RIO ACRE ALDEIA MARIA MONTEZA;;0.0;0.0;0.0;1.0;6.0
2019;Assis Brasil;1200054;ESC MARIA NILDA DE ARAUJO;12106224;3;2;0.0;SGAL. GUANABARA COL. PORTO CENTRAL;;0.0;0.0;0.0;1.0;8.0
2019;Brasiléia;1200104;ESC CEL MANOEL FONTENELE DE CASTRO;12016250;2;1;0.0;AVENIDA DR MANOEL MARINHO MONTE;;1.0;0.0;0.0;0.0;671.0
2019;Brasiléia;1200104;ESC DOM PEDRO I;12016276;3;2;0.0;BR 317 KM 84 MAIS RAMAL;;0.0;0.0;0.0;1.0;10.0
2019;Brasiléia;1200104;ESC KAIRALA JOSE KAIRALA;12016284;2;1;0.0;RUA JOSE KAIRALA;;1.0;0.0;0.0;0.0;493.0
2019;Brasiléia;1200104;ESC FULGENCIO DE PAIVA;12016390;3;2;1.0;BR 317 KM 59 RAMAL;;1.0;0.0;0.0;0.0;15.0
2019;Brasiléia;1200104;ESC GESILDA DE FREITAS PAIXAO;12016420;3;2;1.0;BR 317 KM 59 MAIS 26 DE RAMAL;;1.0;0.0;0.0;0.0;22.0
2019;Brasiléia;1200104;ESC GETULIO VARGAS;12016438;2;1;0.0;AV JOSE RUY LINO;PONTE METALICA;1.0;0.0;0.0;0.0;502.0
2019;Brasiléia;1200104;ESC JOSE RUY DA SILVEIRA LINO;12016535;3;1;0.0;RUA OLEGARIO FRANCA;;1.0;0.0;0.0;0.0;456.0
2019;Brasiléia;1200104;ESC MIZAEL ABRAAHAO SAADY;12016659;3;2;1.0;BR 317 KM 84 MAIS RAMAL;;0.0;0.0;0.0;1.0;7.0
2019;Brasiléia;1200104;ESC NOSSA SENHORA DAS DORES;12016683;3;2;1.0;BR 317 KM 59 MAIS 90 DE RAMAL;;0.0;0.0;0.0;1.0;7.0
2019;Brasiléia;1200104;ESC NOVA UNIAO;12016705;3;2;1.0;BR 317 KM 59 MAIS RAMAL;;0.0;0.0;0.0;1.0;11.0
2019;Brasiléia;1200104;ESC RAIMUNDA FLORES;12016845;3;2;1.0;BR 317 KM 52 MAIS RAMAL;;1.0;0.0;0.0;0.0;18.0
