Ano;Região;UF;Municipio;CNPJ EEX;Código Escola;Escola;Localização;CNPJ UEX;Razão Social;DDD Telefone;Telefone;Email;Rede de Atendimento;Mandato Dirigente;Data Fim do Mandato;Data Atualização;Hora Atualização
2019;NORTE;AC;Assis Brasil;'04045993000179;12016047;ESC PETRONIO FELINTO DE ALMEIDA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12016047;ESC PETRONIO FELINTO DE ALMEIDA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12016063;ESC RECIFE;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12016063;ESC RECIFE;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12029220;ESC SARA LOPES PEREIRA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12029220;ESC SARA LOPES PEREIRA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12022098;ESC SIMON BOLIVAR;Urbana;'03178789000163;CONSELHO ESCOLAR SIMON BOLIVAR;68.0;35481067.0;;PARTICULAR;À VENCER;31/12/2027;;
2019;NORTE;AC;Assis Brasil;'04045993000179;12016128;ESC TANCREDO DE ALMEIDA NEVES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12016128;ESC TANCREDO DE ALMEIDA NEVES;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12023140;ESC VICENTE BESSA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;31/12/2028;24/05/2019;01:05:18
2019;NORTE;AC;Assis Brasil;'04045993000179;12033103;ESC VICENTE BESSA;Urbana;'32230597000157;CONSELHO ESCOLAR VICENTE BESSA ASSIS BRASIL - AC;68.0;99212457.0;;PARTICULAR;À VENCER;31/12/2027;23/04/2019;12:04:37
2019;NORTE;AC;Assis Brasil;'04045993000179;12023140;ESC VICENTE BESSA;Rural;'04045993000179;PREF MUN DE ASSIS BRASIL;68.0;35481175.0;;ADMINISTRAÇÃO PÚBLICA MUNICIPAL;À VENCER;;24/05/2019;01:05:18
