NU_ANO_CENSO;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;CO_ENTIDADE;NO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;DS_ENDERECO;NU_ENDERECO;DS_COMPLEMENTO;NO_BAIRRO;CO_CEP;NU_DDD;NU_TELEFONE;TP_SITUACAO_FUNCIONAMENTO;CO_ESCOLA_SEDE_VINCULADA;IN_LOCAL_FUNC_PREDIO_ESCOLAR;TP_OCUPACAO_PREDIO_ESCOLAR;IN_AGUA_POTAVEL;IN_AGUA_REDE_PUBLICA;IN_AGUA_POCO_ARTESIANO;IN_AGUA_CACIMBA;IN_AGUA_FONTE_RIO;IN_AGUA_INEXISTENTE;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_FOSSA;IN_ESGOTO_INEXISTENTE;IN_BANHEIRO;IN_COZINHA;QT_MAT_BAS;IN_AGUA_CARRO_PIPA
2019;AC;12;Assis Brasil;1200054;12023140;ESC VICENTE BESSA;3;2;1.0;SGAL. SAO PEDRO, COL. RIO GRANDE;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;44.0;
2019;AC;12;Assis Brasil;1200054;12025984;ESC ALONSO GONCALVES GOMES;3;2;0.0;SGAL. PARAGUACU COL. BOM JARDIM;;;;69935000.0;68;35481170;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9.0;
2019;AC;12;Assis Brasil;1200054;12026158;ESC INDIGENA SAO PEDRO;2;2;2.0;TERRA INDIGENA MAMOADATE, ALDEIA LAGO NOVO;;RIO IACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.0;
2019;AC;12;Assis Brasil;1200054;12026166;ESC INDIGENA LIBERDADE;2;2;2.0;LIBERDADE;;;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6.0;
2019;AC;12;Assis Brasil;1200054;12026182;ESC INDIGENA NOSSA SENHORA DA CONCEICAO;2;2;2.0;ALDEIA BOCA DO MAMOADATE;;RIO YACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;66.0;
2019;AC;12;Assis Brasil;1200054;12026212;ESC INDIGENA KUSHU;2;2;2.0;ALDEIA CUJUBIM BOCA DO MAMOADATE;;RIO IACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;13.0;
2019;AC;12;Assis Brasil;1200054;12026891;ESC INDIGENA BELO HORIZONTE;2;2;2.0;BOCA DO MAMOADATE;;RIO IACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;43.0;
2019;AC;12;Assis Brasil;1200054;12026964;ESC NOVA CONQUISTA;3;2;0.0;BR 317 KM 88 MAIS 06 KM DE RAMAL;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;16.0;
2019;AC;12;Assis Brasil;1200054;12027022;ESC INDIGENA ANANAIA;2;2;2.0;TERRA INDIGENA CABECEIRA DO RIO ACRE;;;;69935000.0;.;.;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;17.0;
2019;AC;12;Assis Brasil;1200054;12027464;ESC INDIGENA PORTO ALEGRE;2;2;2.0;TERRA INDIGENA MAMOADATE ALDEIA SANTA CRUZ RIO IAC;;;;69935000.0;.;.;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;33.0;
2019;AC;12;Assis Brasil;1200054;12027499;ESC ANTONIO RODRIGUES DOS ANJOS;3;2;0.0;SGAL GUANABARA COL. NATAL;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6.0;
2019;AC;12;Assis Brasil;1200054;12027502;ESC FRANCISCO CHAGAS DE SOUZA;3;2;1.0;SGAL. SAO FRANCISCO COL. AGUA MORTA;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;16.0;
2019;AC;12;Assis Brasil;1200054;12028223;ESC SANDOVAL BATISTA DE ARAUJO;2;2;0.0;COLOCACAO BAIXA VERDE SERINGAL ICURIA;S/Nº;RAMAL DO ICURIA;;69935000.0;68;.;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;272.0;
2019;AC;12;Assis Brasil;1200054;12029220;ESC SARA LOPES PEREIRA;3;2;1.0;SGAL SAO PEDRO COL. CAMPO ALEGRE;;ZONA RURAL;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;24.0;
2019;AC;12;Assis Brasil;1200054;12029270;ESC INDIGENA HIMATKALTSHI;2;2;2.0;TERRA INDIGINA CABACEIRA DO RIO ACRE;;RIO ACRE;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;19.0;
2019;AC;12;Assis Brasil;1200054;12029289;ESC INDIGENA PIYAKATI;2;2;2.0;ALDEIA TRES CACHOEIRAS;;RIO ACRE;;69935000.0;68;.;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;40.0;
2019;AC;12;Assis Brasil;1200054;12029297;ESC SANTA ROSA;3;2;1.0;SGAL. SAO PEDRO COL. SANTA ROSA;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;
2019;AC;12;Assis Brasil;1200054;12029505;ESC INDIGENA SAO RAIMUNDO NONATO;2;2;2.0;TERRA MANCHINERI DO GUANABARA RIO IACO;;;;69935000.0;.;.;1;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;26.0;
2019;AC;12;Assis Brasil;1200054;12029602;ESC NAPOLEAO PARDO;3;2;0.0;SGAL GUANABARA COL. PAU FURADO;;;;69935000.0;68;9.9214E8;1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;40.0;
2019;AC;12;Assis Brasil;1200054;12030244;ESC MARIA FERREIRA DA SILVA;3;1;0.0;JUVENAL DUARTE DE SOUSA;SN;;BELA VISTA;69935000.0;68;9.9984E8;1;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;233.0;
2019;AC;12;Assis Brasil;1200054;12030660;ESC INDIGENA HOSHA;2;2;2.0;ALDEIA NOVA ESPERANCA;;RIO IACO;;69935000.0;68;35481122;1;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;
2019;AC;12;Assis Brasil;1200054;12030678;ESC INDIGENA KATAHIRI;2;2;2.0;ALDEIA CACHOEIRA IACO;;;;69935000.0;.;.;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;
